TradeRepublic_Name,L&S_Name,Region,WKN,ISIN,L&S_URL_ID
FTSE 250,ISHARES FTSE 250,UK,A0CA55,IE00B00FV128,380129
UK Dividend,I-SHAR UK DIVIDEND,UK,A0HGV6,IE00B0M63060,251496
Core UK Gilts,ISHARES CORE UK GILTS,UK,A0LGP9,IE00B1FZSB30,380108
GBP Index-Linked Gilts,ISHARES £ INDEX-LINKED GILTS,UK,A0LGP7,IE00B1FZSD53,380117
FTSE 100,CS ETF(IE)ON FTSE 100,UK,A0YEDM,IE00B53HP851,43961
MSCI Target UK Real Estate,ISHARES MSCI UK REAL ESTATE,UK,A12DPU,IE00BRHZ0398,262375
TA-35 Israel,ISHARES ISRAEL,Israel,A140SM,IE00BP3QZG05,380147
FTSE MIB EUR (Acc),CS ETF(IE)ON FTSE MIB,Italy,A0YEDP,IE00B53L4X51,51944
FTSE MIB EUR (Dist),ISHARES FTSE MIB (DIST),Italy,A0MZWP,IE00B1XNH568,380135
Italy Govt Bond,ISHARES ITALY GOVERNMENT BOND,Italy,A1JXZH,IE00B7LW6Y90,270327
MSCI Brazil USD (Dist),I-SHAR MSCI BRAZIL,Latin America,A0HGWA,IE00B0M63516,251514
MSCI Mexico Capped,CS ETF(IE)ON MSCI MEX.C.,Latin America,A1C1H0,IE00B5WHFQ43,49862
MSCI EM Latin America,ISHARES MSCI EM LATIN AMERICA UC,Latin America,A0NA45,IE00B27YCK28,257187
MSCI South Africa,ISHARES MSCI SOUTH AFRICA UCITS ETF,Middle East and Africa,A0YJ8Y,IE00B52XQP83,83766
AEX,ISHARES AEX,Netherlands,A0HGWF,IE00B0M62Y33,380138
Core S&P 500,CS ETF(IE)ON S+P 500,North America,A0YEDG,IE00B5BMR087,42965
NASDAQ-100 ®,ETF NASDAQ100,North America,A0F5UF,DE000A0F5UF5,42380
S&P 500 Consumer Staples Sector,ISHARES S&P CONSUMER,North America,A142NW,IE00B40B8R38,378467
S&P 500 Industrials Sector,ISHARES S&P INDUSTRIALS,North America,A142N0,IE00B4LN9N13,378464
S&P 500 Information Technology Sector,ISHARES S&P500 INFORMATION TECH.,North America,A142N1,IE00B3WJKG14,196083
Dow Jones U.S. Select Dividend,ISH. DJ U.S. SEL. DIVID.,North America,A0D8Q4,DE000A0D8Q49,43013
S&P 500 Financials Sector,ISHARES S&P500 FINANCIALS SECTOR,North America,A142NY,IE00B4JNQZ49,196107
Edge MSCI USA Quality Factor,ISHARES MSCI USA QLY,North America,A2AP34,IE00BD1F4L37,378461
Corp Bond USD,I-SHAR $ CORP. BOND,North America,911950,IE0032895942,251475
MSCI North America,I-SHAR MSCI NORTH AMERICA,North America,A0J201,IE00B14X4M10,251508
USD Treasury Bond 7-10yr,ISHARES $ TREASURY BOND 7-10YR U,North America,A0LGP4,IE00B1FZS798,257211
USD TIPS,ISHARES TIPS UCITS,North America,A0LGP8,IE00B1FZSC47,46637
MSCI USA Islamic,ISHARES MSCI USA ISLAMIC UCITS E,North America,A0NA48,IE00B296QM64,257199
S&P 500 Consumer Discretionary Sector,ISHARES S&P500 CONSUMER DISCR.,North America,A142NV,IE00B4MCHD36,196119
S&P 500 Materials Sector,ISHARES S&P MATERIALS,North America,A142N2,IE00B4MKCJ84,378446
Dow Jones Industrial Average,CS ETF(IE)ON D.J.IND.AVE,North America,A0YEDK,IE00B53L4350,51995
Edge S&P 500 Minimum Volatility,ISHARES EDGE S&P 500 MIN VOL.,North America,A1J784,IE00B6SPMN59,270717
Edge MSCI USA Size Factor,ISHARES MSCI USA SIZE,North America,A2AP33,IE00BD1F4K20,378470
Edge MSCI USA Value Factor,ISHARES MSCI USA VALUE,North America,A2AP35,IE00BD1F4M44,378452
Edge MSCI USA Momentum Factor,ISHARES MSCI USA MOMENTUM,North America,A2AP36,IE00BD1F4N50,378440
USD TIPS 0-5,ISHARES $ TIPS 0-5,North America,A2DKPQ,IE00BDQYWQ65,454839
USD Intermediate Credit Bond,ISHARES $ INTERMEDIATE,North America,A2DKPP,IE00BDQZ5152,454836
US Equity Buyback Achievers,ISHARES US EQUITY BUYBACKS ACHIEVERS,North America,A12DPR,IE00BQT3VN15,163614
MSCI USA SRI,ISHARES SUST MSCI USA SRI,North America,A2AFC0,IE00BYVJRR92,316867
Core S&P 500,ISHARES S&P 500,North America,622391,IE0031442068,43715
US Property Yield,ISHARES US PROPERTY YIELD UCITS,North America,A0LEW6,IE00B1FZSF77,257196
S&P 500 Energy Sector,ISHARES S&P500 ENERGY SECTOR,North America,A142NX,IE00B42NKQ00,196110
S&P 500 Health Care Sector,ISHARES S&P500 HEALTHCARE SECTOR,North America,A142NZ,IE00B43HR379,196116
US Aggregate Bond,ISHARES US AGGREGATE BOND UCITS,North America,A1JKDK,IE00B44CGS96,257205
USD High Yield Corp Bond,ISHARES $ HIGH YIELD CORP.,North America,A1H5UN,IE00B4PY7Y77,49685
MSCI Canada,CS ETF(IE)ON MSCI CANADA,North America,A0YEDS,IE00B52SF786,49610
USD Corp Bond Intetest Rate Hedged,IS DL C.B.I.R.H.U.ETF DLD,North America,A1W37Y,IE00BCLWRB83,251487
USD Short Duration Corp Bond,ISH USD SHORT BOND,North America,A1W372,IE00BCRY5Y77,154122
